date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:56	162165/162165	---MC-	200	added ('OK')	text/html	etag:%22405ca568cfc8d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html	(from )
21:10:57	4039/4039	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202019%2013:10:58%20GMT	https://www.cathaylife.com.tw/robots.txt		(from )
21:10:57	46838/46838	---M--	200	added ('OK')	text/css	etag:%2209eca6aec91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/css/page.css	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/css/page.css	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:10:58	95867/95867	---M--	200	added ('OK')	text/css	etag:%22f0ce7f7bec91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/css/style.css?css=20181023_01	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/css/stylea342.css	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:10:58	3356/3356	---M--	200	added ('OK')	text/css	etag:%22401a2fef691d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/plugin/owl.carousel/owl.carousel.min.css?css=20181023_01	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/plugin/owl.carousel/owl.carousel.mina342.css	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:10:59	4700/4700	---M--	200	added ('OK')	text/css	etag:%22046e3c6f791d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/plugin/sugarfunbox/sugarfunbox.min.css?css=20181023_01	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/plugin/sugarfunbox/sugarfunbox.mina342.css	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:00	99431/99431	---M--	200	added ('OK')	text/css	etag:%22201cfd8aec91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/css/index.css?css=20181023_01	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/css/indexa342.css	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:00	1161/1161	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202019%2013:11:00%20GMT	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry//jscdn.appier.net/js/rt-ext/track-ext-a.js	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/jscdn.appier.net/js/rt-ext/track-ext-a.6.delayed	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:01	53291/53291	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2031%20Mar%202019%2013:11:02%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Websites/icarry3/connect.facebook.net/en_US/fbevents.js	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:01	1300/1300	---M--	200	added ('OK')	text/javascript	etag:W/%221300-1537386905000%22	https://www.cathaylife.com.tw/oc/OCWeb/html/CM/js/CelebrusInsert.js	C:/My%20Websites/icarry3/www.cathaylife.com.tw/oc/OCWeb/html/CM/js/CelebrusInsert.js	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
